Id|Title|Price|RestaurantId|Status|ImagePath
--|-----|-----|------------|------|---------
24D71195-CF5C-4D25-AE4A-0198712B604C|Ribeye 300g|24.00|1|Approved|NULL
AC759D16-D763-431C-B77E-13BCE1F8D3CF|Bacon BBQ Burger|14.99|7|Approved|/uploads/fa613fb2-c650-48f9-9dac-2cbfaa24cd60.jpg
CFBCE553-7601-4D1B-A2FF-142BFB49DA52|Ribeye 300g|24.00|3|Approved|NULL
8F4A2EE7-DFB6-418B-9129-370B5880F4AC|Tagliatelle al Ragù|11.50|3|Approved|NULL
13F8FF67-A063-4BED-8442-403F370CBFC8|Ribeye Steak 300g|24.00|5|Approved|/uploads/d5445af5-74fd-4ac1-9635-a5ce12f520d4.jpg
3D4C7F86-FFF8-459C-B2D2-5B1945426DFF|Salmon Nigiri|6.50|4|Approved|NULL
14DD5F7B-AAC0-439C-8D45-657FA2753F39|Tagliatelle al Rag?|11.50|1|Approved|NULL
9BA614B0-C966-4AE9-8FAC-671FB8183BF9|California Roll|8.99|4|Approved|NULL
3D45926F-73F8-4BA6-992D-7AE27C5B4498|California Roll|8.99|6|Approved|/uploads/a002404a-6c18-4484-9ebe-041cc835c59c.jpg
45196F8A-9252-4BEB-8F13-84E431157EF3|Margherita Pizza|9.50|5|Approved|/uploads/fb28e8fb-f192-4686-9625-68aa5526a878.jpg
ECB2E651-FD6B-41E9-8230-B8A2577023D5|Classic Cheeseburger|12.50|7|Approved|/uploads/449e1a5a-49bf-43f6-8640-0f52a025d3a6.jpg
78C04ED0-8002-414F-B14A-BAB2AF7E12F4|Tagliatelle al Ragù|11.50|5|Approved|/uploads/36f7179e-3101-4dec-a7a8-7553835e4937.jpg
693BF5A1-45F7-46AA-9402-D2BF75C98A6D|Spicy Tuna Roll|10.99|6|Approved|/uploads/4ad66068-8f0d-4df9-84d6-adb41f8577f9.jpg
AFD08795-6673-428C-8009-D93C6C9BE551|Salmon Nigiri|6.50|6|Approved|/uploads/3cd66fc9-4b7b-4e0c-b863-2e3e2d32f40f.jpg
CA42BD76-45D4-49D9-956C-E8173D3D05CF|Veggie Burger|11.00|7|Approved|/uploads/41d514f6-0c80-4465-8b76-1873e2c2bdcb.jpg

(15 rows affected)
